Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
1403.00,28-09-2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"₹ 5,00,000.00",nan
1404.00,28-09-2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"₹ 10,00,000.00",nan
1405.00,28-09-2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"₹ 10,00,000.00",nan
1406.00,28-09-2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"₹ 5,10,00,000.00",nan
1407.00,29-09-2016,Promon,eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"₹ 1,80,000.00",nan
1408.00,29-09-2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,N/A,N/A
1409.00,29-09-2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"₹ 15,00,000.00",nan
1410.00,30-09-2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,N/A,N/A
1411.00,30-09-2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"₹ 1,90,00,000.00",nan
1412.00,30-09-2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,N/A,N/A
1413.00,01-08-2016,HealthKart,eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"₹ 1,20,00,000.00",nan
1414.00,01-08-2016,Medinfi,Consumer Internet,Doctor & Clinic Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"₹ 2,00,000.00",nan
1415.00,01-08-2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"₹ 2,75,000.00",nan
1416.00,01-08-2016,Voonik,eCommerce,Online Womens Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,"₹ 30,00,000.00",nan
1417.00,01-08-2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"₹ 25,00,000.00",nan
1418.00,02-08-2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"₹ 18,00,000.00",nan
1419.00,02-08-2016,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,N/A,N/A
1420.00,02-08-2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"₹ 10,00,000.00",nan
1421.00,03-08-2016,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,N/A,N/A
1422.00,03-08-2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"₹ 2,25,000.00",nan
1423.00,03-08-2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"₹ 8,90,000.00",nan
1424.00,04-08-2016,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"₹ 5,00,000.00",nan
1425.00,04-08-2016,lehlehsports,Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,N/A,N/A
1426.00,05-08-2016,Tricog,Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,N/A,N/A
1427.00,06-08-2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"₹ 27,000.00",nan
