Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
398.00,10-01-2018,Tapzo,Technology,Personal Assistant,Bangalore,RuNet & Other,Private Equity,"₹ 19,30,000.00",nan
399.00,10-01-2018,Appario Retail Pvt Ltd.,E-commerce,Retail,Delhi,Amazon-Patni JV,Private Equity,"₹ 1,88,40,000.00",nan
400.00,10-01-2018,Samunnati,Finance,Agricultural Loan,Chennai,"responsAbility, Elevar Equity and Accel Partners",Private Equity,"₹ 2,35,00,000.00",nan
401.00,10-01-2018,Sahajanand Medical Technologies,Technology,Medical Devices,Surat,Morgan Stanley Private Equity Asia,Private Equity,"₹ 3,62,30,000.00",nan
402.00,12-01-2018,Kuants,Technology,Algorithmic Trading,Gurgaon,"Pankaj Chopra, Ankush Gupta",Angel / Seed Funding,"₹ 80,000.00",nan
403.00,12-01-2018,Razorpay,Technology,Payment Gateway,Bangalore,"Tiger Global, Y Combinator",Private Equity,"₹ 2,00,00,000.00",nan
404.00,15-01-2018,Streak,Technology,Algorithmic Trading,Bangalore,"Indian fintech fund, Rainmatter",Angel / Seed Funding,"₹ 3,54,600.00",nan
405.00,15-01-2018,pi Ventures,Finance,Venture Capital,Bangalore,"Sunil Kant Munjal, Hero Electronixs corporate financing arm, Electronic Development Fund",Private Equity,"₹ 2,50,00,000.00",nan
406.00,15-01-2018,Newgen Software,Technology,IT,New Delhi,"Goldman Sachs, hedge fund & Others",Private Equity,"₹ 2,00,00,000.00",nan
407.00,17-01-2018,Rubix,Technology,Education,Pune,Polaris Fund,Private Equity,"₹ 10,00,000.00",nan
408.00,18-01-2018,ShareChat,Technology,Social,Bangalore,"Xiaomi Singapore, Shunwei Capital",Private Equity,"₹ 1,82,00,000.00",nan
409.00,22-01-2018,Paperflite,Technology,IT,Chennai,The Chennai Angels,Angel / Seed Funding,"₹ 4,00,000.00",nan
410.00,22-01-2018,HungerBox,Consumer Internet,Food and Beverages,Bangalore,Lionrock Capital,Private Equity,"₹ 25,00,000.00",nan
411.00,22-01-2018,Skillate,Technology,Artificial Intellegence,Bangalore,"Incubate Fund India, Anuj Agrawal",Private Equity,N/A,N/A
412.00,22-01-2018,OptaCredit,Finance,Alternative Lending,Chennai,DMI Finance,Private Equity,"₹ 40,00,000.00",nan
413.00,22-01-2018,AEON Learning,Technology,Education,Bangalore,Dr. Ranjan Pai,Private Equity,"₹ 32,00,000.00",nan
414.00,23-01-2018,Milkbasket,E-commerce,Online Grocery,Gurugram,Unilever Ventures,Private Equity,"₹ 30,00,000.00",nan
415.00,24-01-2018,NeoGrowth Credit,Finance,Digital Lending,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital",Private Equity,"₹ 4,70,00,000.00",nan
416.00,24-01-2018,Rao IIT Academy,Education,Coaching Services,Mumbai,Avendus Finance,Structured Debt,"₹ 86,00,000.00",nan
417.00,24-01-2018,Aye Finance,Finance,Online Lending,Gurugram,IFMR Capital,Term Loan,"₹ 62,40,000.00",nan
418.00,25-01-2018,Glassic,Ecommerce,Eyewear,Bangalore,"Chennai Angels, Lead Angels, LetsVenture",Angel / Seed Funding,N/A,N/A
419.00,25-01-2018,GreyAtom,Technology,Education,Mumbai,Pravega Ventures,Private Equity,"₹ 10,00,000.00",nan
420.00,26-01-2018,Axio,Healthcare,Hemostatic Dressing Solutions,Bangalore,RNT Capital,Private Equity,"₹ 74,00,000.00",nan
421.00,29-01-2018,eKincare,Healthcare,Technology,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy",Private Equity,"₹ 15,00,000.00",nan
422.00,29-01-2018,The Wedding Brigade,Consumer internet,Online Services,Mumbai,Blume Ventures,Private Equity,"₹ 10,00,000.00",nan
423.00,30-01-2018,PeeSafe,Healthcare,Hygiene,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures.",Private Equity,"₹ 10,00,000.00",nan
424.00,30-01-2018,BrowserStack,Technology,Browser Testing,Mumbai,Accel Partners,Private Equity,"₹ 5,00,00,000.00",nan
425.00,30-01-2018,Scapic,Technology,Virtual Reality,Bangalore,"Axilor Ventures, Newfort Capital",Angel / Seed Funding,"₹ 5,00,000.00",nan
426.00,30-01-2018,MoneyOnMobile,Technology,Mobile Payment Platform,Mumbai,Undisclosed Investors,Private Equity,"₹ 76,00,000.00",nan
427.00,30-01-2018,CureFit,Healthcare,Fitness,Bangalore,"HDFC Bank, Axis Bank",Debt Funding,"₹ 1,00,00,000.00",nan
428.00,31-01-2018,iNurture,Technology,Education Solutions,Bangalore,Ventureast,Private Equity,"₹ 44,00,000.00",nan
429.00,01-12-2017,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,N/A,N/A
430.00,05-12-2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,"₹ 1,23,00,000.00",nan
431.00,05-12-2017,Tata Housing,Real Estate,Residential Project,Mumbai,Hines,Private Equity,"₹ 2,30,00,000.00",nan
432.00,05-12-2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,"₹ 10,00,000.00",nan
433.00,05-12-2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,"₹ 5,00,000.00",nan
434.00,06-12-2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"₹ 6,00,00,000.00",nan
435.00,06-12-2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,"₹ 70,00,000.00",nan
436.00,07-12-2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,"₹ 1,00,00,000.00",nan
437.00,07-12-2017,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,"₹ 31,00,000.00",nan
438.00,07-12-2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,"₹ 7,50,000.00",nan
439.00,07-12-2017,eShakti,Ecommerce,"""Women\\'s Fashion Clothing Online Platform""",Chennai,IDG Ventures,Debt Funding,"₹ 23,00,000.00",nan
440.00,08-12-2017,Inshorts,Technology,Mobile News Curation App,Noida,Tiger Global,Private Equity,"₹ 50,00,000.00",nan
441.00,11-12-2017,Vahdam Tea,E-Commerce,Online Platform Selling Indian Tea Globally,Delhi,"Singapore Angel Network, Mumbai Angel",Private Equity,"₹ 15,00,000.00",nan
442.00,11-12-2017,Logic Roots,Technology,Educational Platform to Learn Mathematics,Mumbai,Village Capital,Seed/Angel Funding,"₹ 50,000.00",nan
443.00,11-12-2017,Project Mudra,Technology,Assisting Visually Impaired to learn through Braille,Bangalore,Village Capital,Seed/Angel Funding,"₹ 50,000.00",nan
444.00,11-12-2017,Furlenco,Technology,Furniture Rental Platform,Bangalore,Aamir Khan,Debt Funding,"₹ 12,00,000.00",nan
445.00,12-12-2017,I Can Stay,Technology,Hotel Aggregator Platform,Delhi,HT Media,Private Equity,"₹ 18,00,000.00",nan
446.00,12-12-2017,Fracktal Works,Technology,Platform based on 3D printing and Digital Manufacturing,Bangalore,Hyderabad Angels,Seed/Angel Funding,N/A,N/A
447.00,12-12-2017,Simility,Technology,Adaptive Fraud Intelligence Platform,Hyderabad,Accel Partners,Private Equity,"₹ 1,75,00,000.00",nan
448.00,12-12-2017,Shopholix,E-Commerce,Fashion and Lifestyle Coupon Platform,Gurgaon,Munesh Khanna,Seed/Angel Funding,"₹ 2,33,000.00",nan
449.00,13-12-2017,MindTickle,Technology,Gamification Platform to train Sales People,Pune,Canaan Partners,Private Equity,"₹ 2,70,00,000.00",nan
450.00,13-12-2017,Nazara Technologies,Technology,Mobile Games Development Firm,Mumbai,Rakesh Jhunjhunwala,Private Equity,"₹ 2,70,00,000.00",nan
451.00,13-12-2017,DocsApp,Technology,Mobile Application for Doctor Consultation,Bangalore,Bessemer Venture Partners,Private Equity,"₹ 72,00,000.00",nan
452.00,13-12-2017,Capita World,Technology,Artificial Intelligence Platform to Raise Funds,Mumbai,"Mohan Tanksale, Kiran Shetty, Darshak Shah, Mandar Mhatre",Private Equity,N/A,N/A
453.00,14-12-2017,Tea Box,E-Commerce,Fresh Indian Tea Selling Platform across 112 countries,Bangalore,RB Investments,Private Equity,"₹ 70,00,000.00",nan
454.00,14-12-2017,Transversal Technologies,Technology,Hyperlocal Video Information Sharing Platform,Bangalore,Matrix Partners,Private Equity,"₹ 60,00,000.00",nan
455.00,14-12-2017,Curofy,Technology,Mobile App for Network of Doctors,Gurgaon,RoundGlass Partners LLC,Seed/Angel Funding,"₹ 2,50,000.00",nan
456.00,14-12-2017,HomeLane,E-Commerce,Online Furniture Marketplace,Bangalore,"Accel Partners, Sequoia Capital, RB Investments",Private Equity,"₹ 1,00,00,000.00",nan
457.00,14-12-2017,WeDoSky,Technology,Provides Business Insights using Drone Imaginary,Delhi,Mumbai Angels Network,Private Equity,N/A,N/A
458.00,15-12-2017,Purplle,E-Commerce,Beauty Products Online Marketplace,Mumbai,"Mountain Pain Capital, Suncoast Investments",Seed/Angel Funding,"₹ 5,37,000.00",nan
459.00,15-12-2017,Cash Suvidha,E-Commerce,Online Micro-Lending Platform,Delhi,N/A,Debt Funding,"₹ 27,00,000.00",nan
460.00,18-12-2017,Sky Met Weather,Technology,Weather Forecast Platform,Noida,InsuResillience Investment Fund,Private Equity,N/A,N/A
461.00,19-12-2017,Springboard,Technology,Online Courses and Mentoring from Experts,Bangalore,"Costanoa, Learn Capital, Jyoti Bansal",Private Equity,"₹ 95,00,000.00",nan
462.00,19-12-2017,Peel Works,Technology,SaaS based Big Data Analytics Platform,Mumbai,Unilever Ventures,Private Equity,N/A,N/A
463.00,19-12-2017,9Stacks,Technology,Online Poker Platform,Delhi,"Swati Gupta, Purnima Khandelwal, Maheshwar Peri, Sanjay Singh",Private Equity,"₹ 15,00,000.00",nan
464.00,20-12-2017,Your Quote,Technology,Vernacular and Video Content Platform,Bangalore,"Axilor Ventures, E-City VEntures Atul Goel",Private Equity,"₹ 10,00,000.00",nan
465.00,20-12-2017,Spandana Sphoorty,Finance,Micro finance institution providing small ticket unsecured loans to women,Hyderabad,"""Kedaraa Capital, Ontario Teachers\\'""",Private Equity,"₹ 1,95,00,000.00",nan
466.00,21-12-2017,Indus OS,Technology,Regional Operating System for Smartphones,Mumbai,Omidyar Network,Private Equity,"₹ 40,00,000.00",nan
467.00,21-12-2017,EasyEcom,E-Commerce,Ecommerce enabler platform,Bangalore,"Ambarish Gupta, Aneesh Reddy, Bold Ventures, Vona Investments",Seed/Angel Funding,"₹ 1,50,000.00",nan
468.00,21-12-2017,IGP.com,E-Commerce,Online Gifting Platform,Uttar Pradesh,Venture Catalysts,Private Equity,N/A,N/A
469.00,26-12-2017,Specsmakers,E-Commerce,Online Spects Platform for Men and Women,Chennai,Eight Roads Ventures India,Private Equity,"₹ 1,00,00,000.00",nan
470.00,27-12-2017,Garage On Road,E-Commerce,Online vehicle service booking platform,Noida,Gaurav Gupta,Private Equity,N/A,N/A
471.00,27-12-2017,Foyr.com,Technology,Realty Tech Startup solving real life Interior Designing problems,Hyderabad,Jones Lang LaSalle,Private Equity,"₹ 38,00,000.00",nan
472.00,02-11-2017,Prest Loans,Finance,Business & SME Loans provider,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"₹ 5,70,000.00",nan
473.00,02-11-2017,AadharAPI.com,Technology,Aadhaar-based API provider,Pune,CIO Angel Network,Seed Funding,N/A,N/A
474.00,02-11-2017,FreshBoxx,ECommerce,Online Grocery Store,Bangalore,Jayant Humbarwadi,Seed Funding,N/A,N/A
475.00,03-11-2017,Vagupu,Technology,Online Tutorial Marketplace,Bangalore,Undisclosed Investors,Seed Funding,"₹ 10,00,000.00",nan
476.00,03-11-2017,HalaPlay,Consumer Internet,Online Fantasy Games,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,N/A,N/A
477.00,03-11-2017,Kalpnik Technologies,Technology,VR based Spiritual platform,Bangalore,Venture Catalysts,Seed Funding,"₹ 5,00,000.00",nan
478.00,04-11-2017,Hevo Data,Technology,Real time data analytics & reporting,Bangalore,IDG Ventures India,Private Equity,"₹ 10,00,000.00",nan
479.00,06-11-2017,Smart Karma,Technology,Financial Technology Research Platform,Bangalore,IDG Ventures India,Private Equity,N/A,N/A
480.00,06-11-2017,Leverage Edu,ECommerce,Online platform for Higher Education Services,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,N/A,N/A
481.00,07-11-2017,Crayon Data,Technology,Customer Engagement Platform,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,N/A,N/A
482.00,07-11-2017,DocTalk,Technology,Doctor Patient Communication platform,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"₹ 50,00,000.00",nan
483.00,07-11-2017,CoveIoT,Technology,Wearable tech and Internet of Things platform,Bangalore,"Titan Co Ltd, Tata Groups watch and jewellery retailing firm",Private Equity,"₹ 50,00,000.00",nan
484.00,08-11-2017,TalentEdge,Technology,Distance Education Learning Platform,Bangalore,Lumis Partners,Private Equity,"₹ 76,00,000.00",nan
485.00,08-11-2017,Fisdom,Finance,Mutual Fund Investment App,Bangalore,Quona Capital Management,Private Equity,"₹ 30,00,000.00",nan
486.00,08-11-2017,FarmLink,eCommerce,Online platform for Agricultural products,Mumbai,"Pioneering Ventures, Syngenta AG",Private Equity,"₹ 30,00,000.00",nan
487.00,08-11-2017,OpenApp,Technology,IoT based Tech Startup,Bangalore,"Axilor Ventures, Kumar Vembu",Private Equity,"₹ 36,00,000.00",nan
488.00,09-11-2017,NoPaperForms,Technology,Enrolment Management Platform,Delhi,Info Edge,Seed Funding,"₹ 8,72,000.00",nan
489.00,09-11-2017,Tilite Technologies Pvt. Ltd,Technology,Saas based Corporate Travel Management Solution,Bangalore,Matrix Partners,Seed Funding,N/A,N/A
490.00,09-11-2017,Mobiliz AR,Technology,Augmented Reality based Tech platform,Bangalore,"IDG Ventures, IDFC-Parampara Fund",Private Equity,N/A,N/A
491.00,10-11-2017,Qubole,Technology,Big Data based analytics platform,Bangalore,"Singtel, Innov8, Harmony Partners",Private Equity,"₹ 2,50,00,000.00",nan
492.00,10-11-2017,Happily Unmarried,ECommerce,Online Gifting platform,New Delhi,Wipro Consumer Care,Private Equity,N/A,N/A
493.00,13-11-2017,Universal Sportsbiz Pvt. Ltd,ECommerce,Celebrity fashion accessories and merchandise,Mumbai,Accel Partners,PrivateEquity,"₹ 1,50,00,000.00",nan
494.00,14-11-2017,Hungry Foal,Ecommerce,Healthy & Nutrition based snacks online platform,Gurgaon,GAIL India Ltd,Seed Funding,N/A,N/A
495.00,14-11-2017,Active AI,Technology,AI based FinTech platform,Bangalore,Vertex Ventures,Private Equity,"₹ 82,50,000.00",nan
496.00,15-11-2017,Sumeru,Technology,Banking Software License Platform,Bangalore,Undisclosed Investors,Seed Funding,"₹ 9,00,000.00",nan
497.00,15-11-2017,ElderAid Wellness,Health Care,Social Healthcare Enterprise,Bangalore,Rugmini Menon,Angel Funding,N/A,N/A
498.00,15-11-2017,Omnia Information,Technology,WiFi Analytics Platform,Delhi,Omidyar Network,Private Equity,"₹ 30,00,000.00",nan
499.00,15-11-2017,Josh Talks,Inspiration,Storytelling platform,Gurgaon,"Girish Mathrubootham, Apurva Chamaria, Rohit Chanana",Private Equity,N/A,N/A
500.00,15-11-2017,Reniso,Technology,End-to-End property management for landlords living away,New Delhi,"Nishit Sharma, Alok Srivastava",Seed Funding,N/A,N/A
501.00,17-11-2017,Kanhaiya,Inspiration,Storytelling platform,Hyderabad,Undisclosed Investors,Seed/Angel Funding,"₹ 2,00,000.00",nan
502.00,17-11-2017,Perspectico,Technology,Placement preparation and career growth training platform,Delhi,"SSCBS Innovation, Incubation Foundation (SIIF)",Seed/Angel Funding,N/A,N/A
503.00,20-11-2017,ONN Bikes,Technology,Self riding bike rental program,Mumbai,Z Nation Lab,Seed/Angel Funding,"₹ 6,92,000.00",nan
504.00,21-11-2017,Rapido,Technology,Bike and Taxi pooling online platform,Hyderabad,"Skycatcher Fund, Aravind Sanka",Seed/Angel Funding,"₹ 3,29,230.00",nan
505.00,21-11-2017,Heckyl,Technology,Big Data Analytics Platform,Mumbai,"Notion Capital, IDG Ventures",Private Equity,"₹ 27,00,000.00",nan
506.00,21-11-2017,Nuvepro,Technology,Managed Cloud Environment Solutions,Mumbai,1Crowd,Seed/Angel Funding,"₹ 4,00,000.00",nan
507.00,21-11-2017,RedBook,Technology,AI based pharmacy drugs insights platform,Mumbai,"Vida Ventures, Dr. Aniruddha Malpani",Seed/Angel Funding,"₹ 2,50,000.00",nan
508.00,21-11-2017,Portea,Healthcare,Healthcare facilities at doorstep,Bangalore,"Sabre Partners, MEMG CDC",Private Equity,"₹ 2,60,00,000.00",nan
509.00,21-11-2017,Credit Mate,Technology,Vehicle loan approval platform,Mumbai,Paytm,Private Equity,N/A,N/A
510.00,21-11-2017,Epiq Capital,Finance,Tech based investor firm,Mumbai,Global Institutional Investors,Private Equity,"₹ 20,00,00,000.00",nan
511.00,22-11-2017,MiStay,Technology,Online Hotel Reservation Platform,Bangalore,Axilor Ventures,Seed/Angel Funding,N/A,N/A
512.00,23-11-2017,WittyFeed,Storytelling,Viral Content and storytelling platform,Indore,Sandeep Aggarwal,Seed/Angel Funding,N/A,N/A
513.00,24-11-2017,IDG Ventures,Finance,Venture Capitalist,Bangalore,Uniliver Ventures,Private Equity,"₹ 1,00,00,000.00",nan
514.00,24-11-2017,TempGo,Technology,IoT and SaaS based transportation platform,Goa,Javelin StartupO Victory Fund,Seed/Angel Funding,"₹ 2,50,000.00",nan
515.00,27-11-2017,Edelweiss,Finance,Diversified Financial,Mumbai,Undisclosed investors,Private Equity,"₹ 27,00,00,000.00",nan
516.00,27-11-2017,ERA,Technology,Identity management platform,Mumbai,Amit Patni,Seed/Angel Funding,"₹ 39,000.00",nan
517.00,27-11-2017,Smaaash,Technology,Virtual Reality based gaming platform,Mumbai,Sixth Sense Ventures,Private Equity,"₹ 38,00,000.00",nan
518.00,28-11-2017,Chumbak,Lifestyle,Designer-led consumer products,Bangalore,Gaja Capital,Private Equity,"₹ 1,30,00,000.00",nan
519.00,28-11-2017,FR8,Technology,Online Truck aggregator platform,Chennai,IFMR Capital,Debt Funding,"₹ 15,00,000.00",nan
520.00,28-11-2017,MobieFit,Healthcare,Health and fitness based mobile App,Goa,"NB Ventures, MediAssist",Seed/Angel Funding,"₹ 13,50,000.00",nan
521.00,28-11-2017,Stanza Living,Technology,Student accommodation platform,Delhi,"Matrix PArtners, Accel",Private Equity,"₹ 20,00,000.00",nan
522.00,03-10-2017,ChqBook,Consumer Internet,Home Loans Aggregation platform,Gurgaon,"Startup Buddy, Apurva Chamaria,Sachin Arora, Bharat Gupta, Amit Manocha",Seed Funding,N/A,N/A
523.00,03-10-2017,HomeCapital,Consumer Internet,Home Loan Down payment assistance program,Mumbai,Venture Catalysts,Seed Funding,N/A,N/A
524.00,03-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,"Tencent, Softbank Group",Private Equity,"₹ 11,00,00,000.00",nan
525.00,04-10-2017,Elanic,Consumer Internet,P2P platform for Fashion sales,Bangalore,Digital Garage,Seed Funding,N/A,N/A
526.00,04-10-2017,CollPoll,Consumer Internet,Education collaboration platform,Bangalore,Sprout Angels,Seed Funding,"₹ 3,06,000.00",nan
527.00,04-10-2017,PhonePe,Consumer Internet,Digital Wallet,Bangalore,Flipkart,Private Equity,"₹ 3,87,00,000.00",nan
528.00,05-10-2017,Little Black Book,Consumer Internet,Local Recommendations and Discoveries Platform,New Delhi,"Blume Ventures, IDG Ventures & Indian Angel Network",Private Equity,"₹ 10,00,000.00",nan
529.00,05-10-2017,Oorjan,Technology,rooftop solar platform,Mumbai,Globevestor,Seed Funding,"₹ 4,50,000.00",nan
530.00,05-10-2017,Zefo,ECommerce,Ecommerce Portal for Used Goods,Bangalore,"Sequoia India, Helion Venture Partners, Beenext",Private Equity,"₹ 92,00,000.00",nan
531.00,06-10-2017,Yaantra,ECommerce,Mobile repair and Refurbishment platform,New Delhi,Carpediem Capital,Private Equity,"₹ 31,00,000.00",nan
532.00,06-10-2017,Farm Taaza,Technology,Fresh Produce SCM company,Bangalore,"Epsilon Venture Partners, Tara India Fund IV and others",Private Equity,"₹ 80,00,000.00",nan
533.00,06-10-2017,Drivezy,Consumer Internet,Self Drive car and bike rental platform,Bangalore,"Das Capital, Axan Partners, Das Capital and IT Farm",Private Equity,"₹ 1,00,00,000.00",nan
534.00,06-10-2017,Slice Pay,Consumer Internet,Student Micro-financing platform,Bangalore,"Das Capital, Simile Ventures",Private Equity,"₹ 20,00,000.00",nan
535.00,09-10-2017,Agrowave,Technology,Agriculture Supply Chain management solutions,Gurgaon,Daffodil Software,Seed Funding,N/A,N/A
536.00,09-10-2017,MyGubbi,eCommerce,Home Interior Designing Seller,Bangalore,"Firoze Irani, Vipul Parekh, Ananda Kallugadde, Rajesh K Murthy",Private Equity,"₹ 27,00,000.00",nan
537.00,09-10-2017,IBSFintech,Technology,Treasury Risk Management Solution,Bangalore,Shailesh Haribhakti,Seed Funding,N/A,N/A
538.00,09-10-2017,Letsservice,Consumer Internet,Auto Service Logistics & SAAS platform,Bangalore,Aequs Group,Private Equity,N/A,N/A
539.00,09-10-2017,OneStepUp,Technology,Education Technology platform,New Delhi,Orient BlackSwan,Seed Funding,"₹ 3,36,000.00",nan
540.00,09-10-2017,ThirdWatch,Technology,AI-powered anti-fraud solutions,Gurgaon,"Rahul Agarwalla, Keshav Sanghi, Batlivala & Karani Securities",Seed Funding,N/A,N/A
541.00,10-10-2017,Parallel Dots,Technology,AI-powered deep learning solutions,Gurgaon,"Multipoint Capital,",Private Equity,"₹ 14,00,000.00",nan
542.00,10-10-2017,Easy Diner,Consumer Internet,online restaurant reservation platform,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,"₹ 45,00,000.00",nan
543.00,11-10-2017,Meesho,ECommerce,Online Reseller Network,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,"₹ 31,00,000.00",nan
544.00,11-10-2017,StanPlus,Logistics,Medical Transportation Services,Hyderabad,KStart Capital,Private Equity,"₹ 11,00,000.00",nan
545.00,12-10-2017,UCLID,Technology,"Education Network for Institutions, teachers & Students",Hyderabad,Undisclosed investors,Seed Funding,"₹ 2,35,000.00",nan
546.00,13-10-2017,Policy Bazaar,Consumer Internet,Online insurance policy aggregator,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,"₹ 7,70,00,000.00",nan
547.00,13-10-2017,Gapoon,Consumer Internet,home maintenance services platform,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,"₹ 2,50,000.00",nan
548.00,13-10-2017,Chaayos,eCommerce,Online Chai ordering platform,Gurgaon,Tiger Global Management,Private Equity,"₹ 20,00,000.00",nan
549.00,16-10-2017,KrazyBee,Consumer Internet,Micro-lending platform,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,"₹ 80,00,000.00",nan
550.00,16-10-2017,Renew Buy,Consumer Internet,Online Insurance Aggregator,New Delhi,Amicus Capital,Private Equity,"₹ 92,00,000.00",nan
551.00,17-10-2017,Fingerlix,Consumer Internet,Food Ordering Portal,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,"₹ 70,00,000.00",nan
552.00,18-10-2017,Bank Bazaar,Consumer Internet,Online Financial Marketplace,Chennai,Experian,Private Equity,"₹ 70,00,000.00",nan
553.00,18-10-2017,Hasura,Technology,App building platform,Chennai,"Nexus, GREE Ventures",Private Equity,N/A,N/A
554.00,18-10-2017,BlackBuck,Logistics,B2B Logistics provider,Bangalore,Innoven Capital,Private Equity,"₹ 77,00,000.00",nan
555.00,18-10-2017,LenDen Club,Consumer Internet,Online peer-to-peer lending platform,Mumbai,Undisclosed Investor,Seed Funding,"₹ 5,00,000.00",nan
556.00,23-10-2017,Toppr,Consumer Internet,Mobile based learning app,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,"₹ 70,00,000.00",nan
557.00,23-10-2017,RAW Pressery,Food & Beverage,Cold pressed Juice maker,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,"₹ 60,00,000.00",nan
558.00,23-10-2017,Cashe,Consumer Internet,app-only lending platform,Mumbai,IFMR Capital,Debt Funding,"₹ 31,00,000.00",nan
559.00,23-10-2017,Park Easy,Consumer Internet,Machine learning based parking discovery,Kolkata,Rockstart Accelerator,Seed Funding,"₹ 1,18,000.00",nan
560.00,24-10-2017,TagBox,Technology,Cold Chain monitoring solution,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,N/A,N/A
561.00,24-10-2017,FYRE,Food & Beverage,Herbal energy shot maker,Mumbai,Venture Catalysts,Seed Funding,"₹ 5,00,000.00",nan
562.00,24-10-2017,ZipLoan,Consumer Internet,SME lending platform,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"₹ 30,00,000.00",nan
563.00,24-10-2017,Skillenza,Consumer Internet,Online Learning Platform,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"₹ 7,22,000.00",nan
564.00,24-10-2017,Chevon,Food & Beverage,Frozen Meat provider,Mumbai,Greenfield Advisory,Private Equity,N/A,N/A
565.00,25-10-2017,PropStory,Consumer Internet,Real Estate content portal,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,N/A,N/A
566.00,25-10-2017,SpotDraft,Consumer Internet,Contract Automation,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"₹ 5,50,000.00",nan
567.00,26-10-2017,Big Basket,eCommerce,Online Grocery portal,Bangalore,Helion Ventures Partners,Private Equity,"₹ 50,00,000.00",nan
568.00,27-10-2017,OfBusiness,Technology,B2B Finance & Fulfilment Network,Gurgaon,Kotak Mahindra Bank,Debt Funding,"₹ 38,00,000.00",nan
569.00,27-10-2017,Olly Credit,Technology,Credit + payment mobile app,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,N/A,N/A
570.00,28-10-2017,CashFree,Technology,Payments Platform for Marketplaces and Fintechs,New Delhi,Y Combinator,Seed Funding,"₹ 1,20,000.00",nan
571.00,28-10-2017,Ola Cabs,Consumer Internet,App based cab hailing services,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"₹ 77,00,000.00",nan
572.00,30-10-2017,GoldFarm,Food & Beverage,Agriculture Technology,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"₹ 20,00,000.00",nan
573.00,31-10-2017,NetMeds,ECommerce,Online Pharmacy,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"₹ 1,40,00,000.00",nan
574.00,31-10-2017,MSE,Finance,Equity Stock Exchange,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"₹ 3,20,00,000.00",nan
575.00,01-09-2017,Aahaa Stores,eCommece,Online B2B store for office supplies,Chennai,YourNest Angel Fund,Private Equity,"₹ 10,00,000.00",nan
576.00,01-09-2017,MFine,Consumer Internet,Online Doctor Discovery platform,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,"₹ 15,00,000.00",nan
